Task,Job Location,Date,Start Time,End Time,Spots,Duration,updated
Admissions Staff (Polo Fields),Polo Fields,2023/10/19,7:15 AM,11:00 AM,3,3:45:00,x
Admissions Staff (Polo Fields),Polo Fields,2023/10/19,10:45 AM,1:00 PM,3,2:15:00,x
Admissions Staff (Polo Fields),Polo Fields,2023/10/19,12:45 PM,3:00 PM,3,2:15:00,x
Admissions Staff (Polo Fields),Polo Fields,2023/10/19,2:45 PM,5:00 PM,3,2:15:00,x
Admissions Staff (Polo Fields),Polo Fields,2023/10/20,7:15 AM,11:00 AM,3,3:45:00,x
Admissions Staff (Polo Fields),Polo Fields,2023/10/20,10:45 AM,1:00 PM,3,2:15:00,x
Admissions Staff (Polo Fields),Polo Fields,2023/10/20,12:45 PM,3:00 PM,3,2:15:00,x
Admissions Staff (Polo Fields),Polo Fields,2023/10/20,2:45 PM,5:00 PM,3,2:15:00,x
Admissions Staff (Polo Fields),Polo Fields,2023/10/21,7:15 AM,11:00 AM,3,3:45:00,x
Admissions Staff (Polo Fields),Polo Fields,2023/10/21,10:45 AM,1:00 PM,3,2:15:00,x
Admissions Staff (Stadium),Stadium,2023/10/21,10:15 AM,1:15 PM,3,3:00:00,x
Admissions Staff (Stadium),Stadium,2023/10/21,1:00 PM,4:00 PM,3,3:00:00,x
Admissions Staff (Stadium),Stadium,2023/10/21,3:45 PM,6:45 PM,3,3:00:00,x
Admissions Staff (Stadium),Stadium,2023/10/21,6:30 PM,8:45 PM,3,2:15:00,x
Admissions Staff (Stadium),Stadium,2023/10/22,8:45 AM,12:30 PM,3,3:45:00,x
Admissions Staff (Stadium),Stadium,2023/10/22,12:15 PM,3:00 PM,3,2:45:00,x
Admissions Staff (Stadium),Stadium,2023/10/22,2:45 PM,5:30 PM,3,2:45:00,x
Crowd Management (Stadium),Stadium,2023/10/21,11:00 AM,1:30 PM,5,2:30:00,x
Crowd Management (Stadium),Stadium,2023/10/21,1:30 PM,4:00 PM,5,2:30:00,x
Crowd Management (Stadium),Stadium,2023/10/21,4:00 PM,6:30 PM,5,2:30:00,x
Crowd Management (Stadium),Stadium,2023/10/21,6:30 PM,8:45 PM,5,2:15:00,x
