Job,Job Description,Shift Location,Shift Start,Shift End,Shift Spots,Shift Description,Shift Notes,Shift Check-in Location,Shift timing label
Scorekeeper,"Have the best possible seat for a game!  Your responsibilities would include:  keeping track of the score on the on-field scoreboard, texting score updates to tourney central, blowing game start/cap horns, and helping the statkeeper.

If you would like to keep for a specific division/team please note so in the request field in the sign-up.  If you would like to be paired with a friend (there is 1 stat and 1 scorekeeper per game) make the note in the request field and make sure your friend has signed up for the appropriate shift. 

IMPORTANT: If you have not yet received training on how to keep stats, then you need to arrive 30 minutes before the scheduled start time.

If you volunteer as statkeeper/scorekeeper it would be great (but not required) if you could please sign up for a minimum of 2 games.

We are unable to accommodate single-shift Wildfire requests - preference for Wildfire games will be given to those who work multiple rounds.",Polo Fields,10/20/2022 8:45:00 AM,10/20/2022 10:45:00 AM,18,,,,
Statkeeper,"Have the best possible seat for a game!  Your responsibilities would include:  keeping track of who throws assists, who catches scores, who makes D's, and who causes turnovers.  Don't worry, you only have to write down their number, and all players have numbers on their jersey.  You'll also have a scorekeeper to keep you company and assist you.

If you would like to keep for a specific division/team please note so in the request field in the sign-up.  If you would like to be paired with a friend (there is 1 stat and 1 scorekeeper per game) make the note in the request field and make sure your friend has signed up for the appropriate shift. 

IMPORTANT: If you have not yet received training on how to keep stats, you must arrive no later than 30 minutes before the scheduled start time.

If you volunteer as statkeeper/scorekeeper it would be great (but not required) if you could please sign up for a minimum of 2 games.

We are unable to accommodate single-shift Wildfire requests - preference for Wildfire games will be given to those who work multiple rounds.",Polo Fields,10/20/2022 8:45:00 AM,10/20/2022 10:45:00 AM,18,,,,
Scorekeeper,"Have the best possible seat for a game!  Your responsibilities would include:  keeping track of the score on the on-field scoreboard, texting score updates to tourney central, blowing game start/cap horns, and helping the statkeeper.

If you would like to keep for a specific division/team please note so in the request field in the sign-up.  If you would like to be paired with a friend (there is 1 stat and 1 scorekeeper per game) make the note in the request field and make sure your friend has signed up for the appropriate shift. 

IMPORTANT: If you have not yet received training on how to keep stats, then you need to arrive 30 minutes before the scheduled start time.

If you volunteer as statkeeper/scorekeeper it would be great (but not required) if you could please sign up for a minimum of 2 games.

We are unable to accommodate single-shift Wildfire requests - preference for Wildfire games will be given to those who work multiple rounds.",Polo Fields,10/20/2022 11:00:00 AM,10/20/2022 1:00:00 PM,18,,,,
Statkeeper,"Have the best possible seat for a game!  Your responsibilities would include:  keeping track of who throws assists, who catches scores, who makes D's, and who causes turnovers.  Don't worry, you only have to write down their number, and all players have numbers on their jersey.  You'll also have a scorekeeper to keep you company and assist you.

If you would like to keep for a specific division/team please note so in the request field in the sign-up.  If you would like to be paired with a friend (there is 1 stat and 1 scorekeeper per game) make the note in the request field and make sure your friend has signed up for the appropriate shift. 

IMPORTANT: If you have not yet received training on how to keep stats, you must arrive no later than 30 minutes before the scheduled start time.

If you volunteer as statkeeper/scorekeeper it would be great (but not required) if you could please sign up for a minimum of 2 games.

We are unable to accommodate single-shift Wildfire requests - preference for Wildfire games will be given to those who work multiple rounds.",Polo Fields,10/20/2022 11:00:00 AM,10/20/2022 1:00:00 PM,18,,,,
Scorekeeper,"Have the best possible seat for a game!  Your responsibilities would include:  keeping track of the score on the on-field scoreboard, texting score updates to tourney central, blowing game start/cap horns, and helping the statkeeper.

If you would like to keep for a specific division/team please note so in the request field in the sign-up.  If you would like to be paired with a friend (there is 1 stat and 1 scorekeeper per game) make the note in the request field and make sure your friend has signed up for the appropriate shift. 

IMPORTANT: If you have not yet received training on how to keep stats, then you need to arrive 30 minutes before the scheduled start time.

If you volunteer as statkeeper/scorekeeper it would be great (but not required) if you could please sign up for a minimum of 2 games.

We are unable to accommodate single-shift Wildfire requests - preference for Wildfire games will be given to those who work multiple rounds.",Polo Fields,10/20/2022 1:15:00 PM,10/20/2022 3:15:00 PM,18,,,,
Statkeeper,"Have the best possible seat for a game!  Your responsibilities would include:  keeping track of who throws assists, who catches scores, who makes D's, and who causes turnovers.  Don't worry, you only have to write down their number, and all players have numbers on their jersey.  You'll also have a scorekeeper to keep you company and assist you.

If you would like to keep for a specific division/team please note so in the request field in the sign-up.  If you would like to be paired with a friend (there is 1 stat and 1 scorekeeper per game) make the note in the request field and make sure your friend has signed up for the appropriate shift. 

IMPORTANT: If you have not yet received training on how to keep stats, you must arrive no later than 30 minutes before the scheduled start time.

If you volunteer as statkeeper/scorekeeper it would be great (but not required) if you could please sign up for a minimum of 2 games.

We are unable to accommodate single-shift Wildfire requests - preference for Wildfire games will be given to those who work multiple rounds.",Polo Fields,10/20/2022 1:15:00 PM,10/20/2022 3:15:00 PM,18,,,,
Scorekeeper,"Have the best possible seat for a game!  Your responsibilities would include:  keeping track of the score on the on-field scoreboard, texting score updates to tourney central, blowing game start/cap horns, and helping the statkeeper.

If you would like to keep for a specific division/team please note so in the request field in the sign-up.  If you would like to be paired with a friend (there is 1 stat and 1 scorekeeper per game) make the note in the request field and make sure your friend has signed up for the appropriate shift. 

IMPORTANT: If you have not yet received training on how to keep stats, then you need to arrive 30 minutes before the scheduled start time.

If you volunteer as statkeeper/scorekeeper it would be great (but not required) if you could please sign up for a minimum of 2 games.

We are unable to accommodate single-shift Wildfire requests - preference for Wildfire games will be given to those who work multiple rounds.",Polo Fields,10/20/2022 3:30:00 PM,10/20/2022 5:30:00 PM,18,,,,
Statkeeper,"Have the best possible seat for a game!  Your responsibilities would include:  keeping track of who throws assists, who catches scores, who makes D's, and who causes turnovers.  Don't worry, you only have to write down their number, and all players have numbers on their jersey.  You'll also have a scorekeeper to keep you company and assist you.

If you would like to keep for a specific division/team please note so in the request field in the sign-up.  If you would like to be paired with a friend (there is 1 stat and 1 scorekeeper per game) make the note in the request field and make sure your friend has signed up for the appropriate shift. 

IMPORTANT: If you have not yet received training on how to keep stats, you must arrive no later than 30 minutes before the scheduled start time.

If you volunteer as statkeeper/scorekeeper it would be great (but not required) if you could please sign up for a minimum of 2 games.

We are unable to accommodate single-shift Wildfire requests - preference for Wildfire games will be given to those who work multiple rounds.",Polo Fields,10/20/2022 3:30:00 PM,10/20/2022 5:30:00 PM,18,,,,
Scorekeeper,"Have the best possible seat for a game!  Your responsibilities would include:  keeping track of the score on the on-field scoreboard, texting score updates to tourney central, blowing game start/cap horns, and helping the statkeeper.

If you would like to keep for a specific division/team please note so in the request field in the sign-up.  If you would like to be paired with a friend (there is 1 stat and 1 scorekeeper per game) make the note in the request field and make sure your friend has signed up for the appropriate shift. 

IMPORTANT: If you have not yet received training on how to keep stats, then you need to arrive 30 minutes before the scheduled start time.

If you volunteer as statkeeper/scorekeeper it would be great (but not required) if you could please sign up for a minimum of 2 games.

We are unable to accommodate single-shift Wildfire requests - preference for Wildfire games will be given to those who work multiple rounds.",Polo Fields,10/21/2022 8:45:00 AM,10/21/2022 10:45:00 AM,18,,,,
Statkeeper,"Have the best possible seat for a game!  Your responsibilities would include:  keeping track of who throws assists, who catches scores, who makes D's, and who causes turnovers.  Don't worry, you only have to write down their number, and all players have numbers on their jersey.  You'll also have a scorekeeper to keep you company and assist you.

If you would like to keep for a specific division/team please note so in the request field in the sign-up.  If you would like to be paired with a friend (there is 1 stat and 1 scorekeeper per game) make the note in the request field and make sure your friend has signed up for the appropriate shift. 

IMPORTANT: If you have not yet received training on how to keep stats, you must arrive no later than 30 minutes before the scheduled start time.

If you volunteer as statkeeper/scorekeeper it would be great (but not required) if you could please sign up for a minimum of 2 games.

We are unable to accommodate single-shift Wildfire requests - preference for Wildfire games will be given to those who work multiple rounds.",Polo Fields,10/21/2022 8:45:00 AM,10/21/2022 10:45:00 AM,18,,,,
